title,entry_id,types,n_instances_prepared,clauses,sensitive_badge,sim_fw_centroid,sim_pos_centroid,sim_content_centroid,sim_visual_centroid
Acceleration Yes,01016339,reaction,21,paired with captions where a person does something clumsy or silly. [pair/caption] || with captions where a person does something clumsy or silly. [caption/person],False,-0.20394,0.49345,0.89509,0.84644
The Worst Trade Deal,024987f1,image macro,41,captioned with the phrase 'This has been the worst trade deal in the history of trade deals [caption/phrase],False,-0.20179,0.47252,0.79722,0.87749
Now Laugh  Laugh at the Image,02b967fd,image macro;parody,40,captioned with the request to laugh in a variety of forms. [caption/request],False,-0.14645,0.6498,0.95672,0.93506
Moon Moon,036cfb95,,91,paired with silly interior monologues in a similar vein to the Doge meme. [pair/monologue],False,-0.11207,0.61003,0.90549,0.88346
You Dumb Bitch,03efe7e2,image macro;reaction,31,paired with the quote has been circulated [pair/quote],False,-0.18767,0.49347,0.90136,0.87938
Mike Pence Is Race Bannon,03f448ec,image macro,39,with captions falsely identifying him as a violently homophobic version of United States Vice President Mike Pence. [caption/version],False,-0.2408,0.57368,0.79437,0.85663
Living in 3017,05311649,,37,used to caption a photo or video of a person demonstrating some kind of unusual pattern of thinking in solving mundane problems [caption/photo],False,-0.29081,0.49798,0.89372,0.86948
This Pleases the Nut,0562fff5,reaction,28,paired with the text [pair/text] || with captions which turn the use of 'nut' into slang for an orgasm. [caption/use],False,-0.19043,0.5115,0.84531,0.84239
Ralph In Danger,05880e0c,"character, reaction",41,paired with captions where one might see themselves in danger. [pair/caption] || with captions where one might see themselves in danger. [caption/danger],False,-0.18925,0.4869,0.89064,0.85421
Im About to End This Mans Whole Career,069c22e8,image macro,41,paired with the quote was circulated as an image macro in reference to situations in which one's reputation or social status could be harmed. [pair/quote],False,-0.2545,0.40988,0.90557,0.90229
AntiMemes,071a2b76,,100,captioned with anti-jokes and meta humor mocking a variety of internet memes [caption/anti],False,-0.05733,0.83498,0.98484,0.97783
Scumbag Brain,07ff787f,,59,with captions that describe self-conflicting psychological experiences like sudden realizations [caption/self],False,-0.12078,0.67161,0.9343,0.80332
Musically Oblivious 8th Grader,08f9eca5,image macro,100,with captions that are blatantly misinformed about a well-known artist [caption/artist],False,-0.12839,0.64118,0.9334,0.85613
Call of Duty Perk Parodies,09f2c5bc,,28,captioned with jokes using the name of the perk as a punchline. [caption/joke],False,-0.13102,0.75679,0.95338,0.9523
Carl the Hedgehog,0a34dae8,"animal, exploitable",41,paired with the text explaining that the image will only be posted once. [pair/text],False,-0.26604,0.28193,0.90851,0.86916
I Can Count to Potato,0ad327dd,,57,paired with photographs of people who appear to have been diagnosed with learning disabilities. [pair/photograph],False,-0.11508,0.68168,0.90246,0.8993
Snail in My Ear Telling Me,0c4281db,exploitable,22,captioned with instructions from 'a snail in the ear [caption/instruction],False,-0.36264,0.32731,0.78443,0.80443
You Should Kill Yourself Now,0cedb86c,reaction,72,paired with his quote which was directed at an alleged stream sniper. [pair/quote],False,-0.27985,0.4245,0.89977,0.88545
Trying to Hold a Fart Next to a Cute Girl in Class,0d1ea326,reaction,37,captioned with humorous frustrations or uncomfortable situations. [caption/frustration],True,-0.27191,0.42922,0.94745,0.91984
Oh Crap  OMG Rage Face,0e5f0b5c,,100,paired with red or white text [pair/text],False,-0.04026,0.82524,0.97917,0.89049
Prepare Your Anus,0e78ec51,,100,often used to caption image macros featuring photographs of intimidating-looking characters. [caption/image],False,-0.26267,0.3519,0.83968,0.87861
If It Pleases the Crown,0f738ae5,image macro,58,captioned with the phrase 'If it pleases the crown [caption/phrase],False,-0.13724,0.68174,0.91599,0.93712
Finally Some Good Fucking Food,0fd158c7,reaction,39,paired with what appears to be inedible or gross things to eat. [pair/thing],False,-0.35029,0.32612,0.85765,0.90358
Welcome to the Gang  Crimes Johnson,109fb9f2,exploitable,35,captioned with various humorous descriptions of their criminal acts. [caption/description],False,-0.30254,0.45076,0.84538,0.78725
The World If,10f98189,"image macro, snowclone",41,captioned with a variation of the phrasal templates 'The world if X' and 'society if X' had happened. [caption/variation],False,-0.37767,0.44185,0.87378,0.87527
Full of Soup Cat,1183d1b9,animal;exploitable;image macro,42,captioned with the Full of X phrasal template. [caption/x],False,-0.47629,0.19446,0.83174,0.82327
Twice at the Same Time,11b796ac,catchphrase;image macro;snowclone,31,captioned with variations of a phrasal template that states an action was invented when the inventor attempted to 'X at the same time.' [caption/variation],False,-0.17567,0.6535,0.90642,0.92303
He Boot Too Big For He Gotdamn Feet,11cc9abb,"copypasta, exploitable",28,paired with images of animals wearing human shoes that are clearly much larger than what they could wear. [pair/image],False,-0.45253,0.26107,0.81533,0.8222
Shreks Cringe Compilation,12231584,image macro;reaction,100,captioned with variations of the phrase '*SNAP* Yep. [caption/variation],False,-0.11541,0.56874,0.9165,0.90056
Lego Doctor,134c8b77,image macro,53,with captions regarding high medical bills. [caption/bill],False,-0.13604,0.70386,0.93355,0.88402
Kung Pow Penis,150460a8,catchphrase,24,paired with images of Bernie Sanders which are inspired by to an audio shitpost on Tumblr. [pair/image],False,-0.09876,0.73114,0.89468,0.86585
Confession Bear,155cecd7,animal,100,captioned with confessions about taboo behaviors and controversial opinions that are often kept secret for fear of being ostracized. [caption/confession],False,-0.08164,0.74031,0.94495,0.87697
Shark In The Woods,1572ab58,animal;character;exploitable;image macro,25,paired with text captions such as 'Deep In The Missouri Woods' and 'Heard There Was Tomfoolery Here [pair/text],False,-0.14102,0.73609,0.92972,0.88655
Splat Tim,16acb5ab,,84,captioned with the expression 'He Does It!' [caption/expression],False,-0.19636,0.67922,0.9179,0.7999
Abandon Thread,1a979980,,98,paired with people or animals that appear as if they are attempting to flee. [pair/people],False,-0.31277,0.53559,0.88607,0.86828
You Are Not Immune to Propaganda,1ad03947,reaction,82,captioned with the text 'You Are Not Immune to Propaganda.' [caption/text],False,-0.33377,0.32792,0.85415,0.8938
Gay Gay Homosexual Gay  I Can Still Hear His Voice,1c24e801,catchphrase,35,paired with images of characters from popular media [pair/image],False,-0.47725,0.44212,0.79988,0.80523
My Wifes Son,1cc231df,,41,paired with references to other memes [pair/reference],False,-0.10508,0.52298,0.9018,0.89842
Wuss Poppin Jimbo,20045228,,28,captioned with an AAVE variation on his catchphrase from the show [caption/aave],False,-0.50573,0.49792,0.85697,0.75697
Megyn Kelly Essentially,221a37b0,,60,captioned with dismissive statements trivializing acts of violent crime and human rights violations. [caption/statement],False,-0.33563,0.54639,0.85766,0.79925
There Is No Queen of England,233a7539,"image macro, snowclone",39,paired with the humorously changed quote have been used as a two-panel meme format [pair/panel],False,-0.44732,0.43823,0.74592,0.83929
Staring Animals,240efb55,"image macro, reaction",28,paired with ironic [pair/nan],False,-0.18827,0.6111,0.95336,0.92933
The Burger King,2412fd8d,,30,paired with the caption 'where is your God now?' [pair/caption],False,-0.19504,0.64656,0.92634,0.86073
Inhaling Seagull,24a1d0c6,,33,captioned with the word 'inhales' while the second image is typically captioned with verbose copypastas and song lyrics. [caption/word] || captioned with verbose copypastas and song lyrics. [caption/copypasta],False,-0.13403,0.65156,0.93496,0.86516
When Your Girlfriend Has a Twin Sister,25046fb2,copypasta,28,paired with an image of a confused penguin from Madagascar. [pair/image],False,-0.32534,0.38926,0.78301,0.87257
Millennial Falcon,25b17ed0,image macro,33,with captions voicing the issues facing Millennials. [caption/issue],False,-0.20339,0.5484,0.89162,0.8428
Huell Rolling In Money,27ad42c7,exploitable;image macro;pop culture reference,24,with captions of people detailing how they received a small amount of money. [caption/people],False,-0.31379,0.42922,0.91743,0.84836
Guy Tries to Impress Girl,284a1479,image macro,59,captioned with awkward mock dialogues [caption/dialogue],False,-0.12922,0.60339,0.92735,0.93562
Nigga Thats Kawaii,29d1f9b1,,100,is often used to caption photographs of black men displaying merchandise or engaging in activities typically associated with the Otaku subculture. [caption/photograph],False,-0.07886,0.71192,0.92342,0.92871
I Dont Even Know Who You Are,2c6f1f38,"image macro, reaction",37,captioned with the quote has been circulated as a macro and a reaction. [caption/quote],False,-0.34107,0.3389,0.83273,0.89694
Fight Me IRL,2dbcee0b,,22,paired with Do you even lift? [pair/nan],False,-0.24253,0.27945,0.90623,0.9077
Surprised Pikachu,2f7869f8,reaction,100,paired with captions where a set-up leads to a predictable outcome that nevertheless leaves one surprised. [pair/caption] || with captions where a set-up leads to a predictable outcome that nevertheless leaves one surprised. [caption/set],False,-0.06844,0.3103,0.96853,0.92266
Youre a Villain Alright Just Not a Super One,2fafe821,image macro,34,paired with the quote has been used as an image macro. [pair/quote],False,-0.20618,0.49729,0.93049,0.92351
Bro Im Straight Up Not Having a Good Time,308b0ec0,reaction,37,with captions describing an displeasurable situation. [caption/situation],False,-0.26053,0.46893,0.89624,0.86576
Overly Manly Man,3115d85f,,100,with captions portraying the subject as an overtly masculine alpha male with misogynistic attitudes. [caption/subject],False,-0.10427,0.67036,0.95419,0.82364
Coaxed Into a Snafu,3138c28e,,100,captioned with variations of popular Internet catchphrases. [caption/variation],False,-0.06489,0.80182,0.96609,0.88618
Spare Coochie,316e0a9c,catchphrase;parody,26,paired with an image of the fictional cartoon character Squidward from the animated television series SpongeBob SquarePants. [pair/image],False,-0.25399,0.52157,0.88251,0.89465
Mentally Im Here,3279396d,catchphrase;image macro,51,paired with an image to represent a person's mental state. [pair/image],False,-0.42173,0.43812,0.86126,0.80918
Fingers In His Ass,32ac5376,song,25,paired with animations and parodied on YouTube and Tumblr. [pair/animation],False,-0.22698,0.54101,0.93626,0.88849
Tony Use to Eat Cheeseburgers,32b6e682,exploitable;image macro;pop culture reference,28,captioned with the phrase 'Tony use to eat cheeseburgers.' [caption/phrase],False,-0.2984,0.26913,0.76516,0.83217
JROTC Students,33b01c42,image macro,35,captioned with jokes mocking middle and high school students in the United States who are enrolled in the Junior Reserve Officers' Training Corps (JROTC) program. [caption/joke],False,-0.23811,0.56993,0.85576,0.86223
Merry Mexican,3424ffc7,,41,with captions often including jokes about Mexican stereotypes [caption/joke],False,-0.11886,0.79146,0.96012,0.86725
Cheesed To Meet You,35ca96b9,catchphrase,21,paired with the Pepe Mouse became popular on various websites in August and September 2020. [pair/pepe],False,-0.28033,0.2181,0.93776,0.86217
Gonna Cry Gonna Piss Your Pants Maybe,370295b8,copypasta,41,paired with nonsensical images. [pair/image],False,-0.30973,0.32564,0.83998,0.87372
Im Gonna Be Honest Im Kind of Retarded,37e4dec3,image macro,26,paired with the quote has been used as an image macro in reference to situations in which one's intellectual abilities could be questioned. [pair/quote],False,-0.25766,0.30488,0.87452,0.86409
Love Is in the Air Wrong,38d4fb3b,catchphrase;exploitable;image macro,28,paired with a misattributed joke quote. [pair/joke],False,-0.44018,0.29066,0.78707,0.84543
My Reaction To That Information,3a933716,catchphrase;reaction,22,paired with nonsensical or absurd images as a means of parodying typical reaction image memes. [pair/image],False,-0.51962,0.33731,0.77998,0.87689
Ouhhh Husbant Now We Are Homeress,3c751660,"character, parody",70,captioned with Engrish monologue in which she accuses her husband of spending too much money on his hobby [caption/monologue],False,-0.23433,0.55218,0.92677,0.76039
When You Skip The Game Tutorial,3dd0f66b,image macro,30,with captions joking that the subject failed to complete a video game tutorial. [caption/subject],False,-0.31407,0.47533,0.89272,0.93006
Perhaps,3e23428b,"image macro, reaction",35,paired with the caption 'Perhaps'. [pair/caption],False,-0.20504,0.53426,0.913,0.88855
He Wants to Order,3f9eb399,exploitable;participatory media,100,captioned with a Snapchat banner reading [caption/snapchat],False,-0.31456,0.30605,0.816,0.77807
Didney Worl,4080cfa0,,26,captioned with the phrase “Didney Worl [caption/phrase],False,-0.24434,0.50065,0.86336,0.85223
Jesus Christ Its a Lion Get In The Car,413f81df,,53,often used to caption image macros featuring photos of lions or other felines [caption/image] || paired with the emoticon >:3 [pair/emoticon],False,-0.28348,0.56432,0.86649,0.85815
Those Chickens Are Up to Something,4259cbd0,image macro;reaction,33,paired with various captions. [pair/caption],False,-0.326,0.41424,0.89142,0.91439
Still Think Its Harmless,44c238b1,parody;slang;snowclone,49,is typically used to caption images depicting obviously false or exaggerated side effects of cannabis. [caption/image],False,-0.18579,0.59402,0.93717,0.92129
X When You Open Their Ribcage  Violent AntiMemes,45484548,catchphrase;image macro;snowclone,40,with captions about violently disemboweling or ripping open the ribcages of obsessive fans of various properties [caption/ribcage],False,-0.20927,0.48832,0.8706,0.91329
Success Kid  I Hate Sandcastles,461a661e,image macro,99,with captions describing a situation that goes better than expected. [caption/situation],False,-0.13015,0.7093,0.97089,0.87028
I Bet Hes Thinking About Other Women,47e921b8,image macro,77,captioned with mock internal monologues in which the woman speculates her partner is 'thinking about another woman' while the man thinks about a variety of absurd topics. [caption/monologue],False,-0.15733,0.52131,0.82594,0.89552
Panzer of the Lake,4a35ec25,image macro,37,captioned with variations of a phrasal template that begins with the soldier asking [caption/variation],False,-0.2063,0.59109,0.88892,0.8095
Lazy College Senior,4b56254c,,73,captioned with unmotivated statements or behaviors that are associated with burnt out college students during their final year of school [caption/statement],False,-0.11397,0.73566,0.93046,0.81524
It Says Youre Gay,4b8259d5,exploitable,37,paired with a painting of an elder scholar pointing a book while speaking to a child to create an image macro. [pair/painting],False,-0.34654,0.3866,0.90144,0.89737
Feminist Frank,4bc6030d,,42,with captions that typically employ a bait-and-switch format with the top caption appearing to setup a misogynistic statement followed by a bottom caption promoting beliefs associated with contemporary feminism. [caption/bait],False,-0.12457,0.61611,0.93944,0.91221
Big Chungus,4ca5cf4b,"catchphrase, image macro",100,captioned with the phrase 'Big Chungus' and presented as a game for PlayStation 4 console. [caption/phrase],False,-0.08699,0.80079,0.93849,0.89547
Squinting Woman,4e27d867,reaction,35,paired with various captions. [pair/caption],False,-0.18209,0.68319,0.94565,0.81944
Name Puns,4ebcc983,,100,captioned with his or her name [caption/name],False,-0.14945,0.60405,0.95534,0.93923
These Are Confusing Times,5072fae5,reaction,23,captioned with the quote was circulated as a reaction [caption/quote],False,-0.18912,0.66979,0.89061,0.87648
Michael Jordans And I Took That Personally,519ab426,reaction,41,with captions describing a small slight against another party. [caption/slight],False,-0.2178,0.47153,0.92575,0.93195
Skyrim Skill Tree,521a88d3,photoshop;pop culture reference;reaction,100,paired with a screenshot of a corresponding skill from the leveling-up system on Skyrim [pair/screenshot] || paired with an image of Bill Clinton saying he did not have sexual relations with Monica Lewinsky [pair/image],False,-0.04261,0.80742,0.96926,0.93135
Heard You Were Talking Shit,53d85c74,,45,paired with images of people or animals looking intently at the viewer [pair/image],False,-0.36035,0.41354,0.8213,0.90827
The Sacred Texts,5532d54b,image macro,37,with captions sarcastically describing an old and worthless piece of writing being destroyed. [caption/piece],False,-0.3219,0.38437,0.83972,0.86338
Im Joining the War on Drugs on the Side of Drugs,55f3e25b,catchphrase;image macro;snowclone,45,paired with an image macro of Karl Marx drawn as a superhero alongside variations of the catchphrase 'I'm Joining the War on X on the Side of Y.' [pair/image],False,-0.13914,0.67287,0.93179,0.93408
Some of You May Die,576ffbdf,"pop culture reference, reaction",41,paired with captions describing situations where people seem to not care whether another lives or dies. [pair/caption] || with captions describing situations where people seem to not care whether another lives or dies. [caption/situation],False,-0.07274,0.71492,0.83993,0.88163
Kai Cenat Tongue Out Face,580884d4,exploitable;image macro;reaction,35,paired with captions that used the screenshots to describe an emotion. [pair/caption] || with captions that used the screenshots to describe an emotion. [caption/screenshot],False,-0.12364,0.67668,0.94893,0.92964
White People Have No Culture,58b69622,,35,is often used to caption photographs of white people in a variety of humorous contexts [caption/photograph],False,-0.43305,0.22624,0.7214,0.84725
Cats Can Have a Little Salami,590490f3,image macro,41,with captions indicating that it is safe to feed cats small amounts of salami as a snack. [caption/cat],False,-0.17881,0.58869,0.84043,0.88619
Thanks Obama,592cacaa,,27,is often used to caption animated GIFs in which the subject appears to be struggling with a rather simple task [caption/gifs],False,-0.16998,0.6474,0.86062,0.88554
Feeling Cute Might Delete Later,59b8eead,image macro,39,captioned with messages indicating that they felt attractive but may remove the image from social media at a later date. [caption/message] || paired with variations of the phrasal template 'feeling cute [pair/variation],False,-0.3747,0.43577,0.8948,0.91433
Big Ounce,59cc46a9,image macro,41,captioned to joke about how this is a person worthy of admiration. [caption/person],False,-0.35772,0.25705,0.80793,0.8377
Infinity War Is The Most Ambitious Crossover Event In History,5ab34160,copypasta;image macro,100,used to caption photographs of different crossover moments between two different fictional universe from popular culture. [caption/photograph],False,-0.2766,0.45075,0.77938,0.83681
Smol,5aef8147,slang,31,paired with lorge or bean) [pair/lorge],False,-0.20742,0.53896,0.92108,0.91061
Sad Ant With Bindle  Homeless Ant  How It Feels To Ant,5af4746d,exploitable;reaction,36,paired with a recaptioned text caption following the phrasal template [pair/text],False,-0.10461,0.77761,0.95175,0.90248
Cash Me Ousside  Howbow Dah,5cb0408a,catchphrase,73,captioned with various frustrating experiences. [caption/experience],False,-0.09687,0.77603,0.93799,0.91553
Sickos Haha Yes,5e07625d,reaction,42,paired with news or images others might be turned off by but the poster is excited about. [pair/news],False,-0.31898,0.15987,0.85995,0.83519
The Game Was Rigged From the Start,5fe2a24d,catchphrase,35,is often used to caption images of various people and characters brandishing pistols. [caption/image],False,-0.32539,0.44732,0.80017,0.91257
Seems Legit  Sounds Legit,609b4e61,,99,is often used to caption image macros depicting factually questionable statements and scenarios. [caption/image],False,-0.09119,0.86048,0.95394,0.92986
Tom Reading The Newspaper,614116e6,"exploitable, image macro",55,paired with captions indicating a confusing [pair/caption] || with captions indicating a confusing [caption/nan],False,-0.13862,0.73496,0.97646,0.9268
Feeling Cute Challenge,62ab65e9,participatory media;snowclone,41,paired with variations of the phrasal template 'feeling cute [pair/variation],False,-0.32018,0.42649,0.89233,0.85691
Vengeance Dad,62eb799f,,100,captioned with first-person style confessions as if he is recounting a terrible event that happened to his family to his own fault or intent. [caption/person],False,-0.12054,0.61731,0.92272,0.80305
Blessed Image,630c75a0,image macro,100,captioned with the phrase 'Blessed Image.' [caption/phrase],False,-0.06227,0.85768,0.97849,0.96358
I Gave You All the Clues  Hello Mister Police,6578e459,parody;pop culture reference,30,paired with various humorous pictures on Twitter. [pair/picture],False,-0.24691,0.49597,0.86236,0.80997
Bonjour Bear,66741eff,"image macro, reaction",33,paired with captions describing something sneaking up on them. [pair/caption] || with captions describing something sneaking up on them. [caption/nan],False,-0.21893,0.57532,0.91395,0.83575
My Hands Look Like This,66c4df39,,41,captioned with a confession that the man's hands are dirty and worn in order to provide financial stability for the woman. [caption/confession],False,-0.52043,0.30031,0.77591,0.86792
Hey Its Your Uber Driver,678282b9,,41,paired with the image of a character or celebrity sitting in a car [pair/image],False,-0.38553,0.21948,0.75754,0.83874
Persian Cat Room Guardian,67f6504d,animal;exploitable;reaction,29,captioned with frustrating or annoying situations [caption/situation],False,-0.1752,0.57737,0.93502,0.87337
I Wouldn’t Tell Anyone I Won The Lottery But There Will Be Hints,68d1a72a,catchphrase;snowclone,42,paired with an image macro or reaction image showing subtle wealth in an otherwise poverty-based setting. [pair/image],False,-0.47482,0.3268,0.67878,0.87323
I Know What You Are,694e2a07,catchphrase;image macro;reaction,20,captioned with the phrase. [caption/phrase],False,-0.23848,0.39938,0.89729,0.85746
Sleeping Shaq,69f7477c,exploitable;photoshop,98,paired with a photoshopped picture of retired professional basketball player Shaquille O'Neal in different states of wakefulness [pair/picture],False,-0.14106,0.6201,0.89846,0.91027
Thick Thighs Save Lives,6ba6963a,"catchphrase, slang",24,paired with the phrase 'but thigh highs are my demise.' [pair/phrase],False,-0.36357,0.38864,0.78993,0.80901
Arabic Strawberry Elephant,6bf9f8d8,animal;exploitable;photoshop;snowclone,24,paired with an Arabic phrase that roughly translates to 'strawberry morning.' [pair/phrase] || paired with the phrasal template 'You must be Arabic strawberry elephant if you think X.' [pair/phrasal],False,-0.25855,0.52956,0.86911,0.79236
Begone Thot,6d7163fc,catchphrase,62,is often used to caption image macros featuring characters with glowing red eyes. [caption/image],False,-0.09819,0.66687,0.90375,0.92657
Cracking Open a Cold One With the Boys,6e6129cf,copypasta,74,is often used to caption various object labeling image macros circulated within ironic meme and circlejerk communities online. [caption/object],False,-0.20534,0.62693,0.85118,0.91701
Correction Guy,7053d03c,,29,with captions correcting some sort of mistake. [caption/sort],False,-0.14588,0.74875,0.97267,0.94744
They Had Us In the First Half,70661dd4,reaction,41,with captions in which the first half of the text sounds good [caption/half],False,-0.16299,0.5461,0.92772,0.88868
Orcposting,70bfe695,,81,with captions mocking multiculturalism and globalism by depicting orcs as Muslim refugees. [caption/multiculturalism],False,-0.10967,0.73997,0.85018,0.83052
Weve Been Tricked Weve Been Backstabbed and Weve Been Quite Possibly Bamboozled,70d498a9,"image macro, reaction",41,paired with the quote has been used as a macro [pair/quote],False,-0.3111,0.2758,0.87454,0.82176
Immature High Schoolers,727ecbac,,73,captioned with childish jokes involving bodily functions [caption/joke],False,-0.14586,0.70108,0.96314,0.80361
Conspiracy Keanu,744cfb4a,image macro,100,captioned with paranoid conjectures and absurdly philosophical questions that bear similarities to the Paranoid Parrot [caption/conjecture],False,-0.1614,0.4582,0.88573,0.84503
How Yall MFs Look,746c40f8,"slang, snowclone",28,paired with a depiction of a sad clown. [pair/depiction],False,-0.31708,0.3597,0.90492,0.83555
