entry_id,title,clause_text,family,predicate,draft_label,is_genuine_gloss,label_correct,notes
1bd0345f,Ooh Face,to express confusion and also a cringing reaction,EXPRESS,express,EXPRESS,,,
5b12f8a9,Share If You Agree,used to solicit more interaction on Facebook posts in order to expose them to a wider audience.,USED-TO,solicit,DIRECT,,,
ad0cba98,Im a Brave Boy,has been used in a series of video remixes.,USED-TO,use_in,STRUCTURAL,,,
a490513c,LeBron James Kid,paired with various footage from TV shows,CAPTION,pair,CAPTION,,,
e0b61c82,So Done,to indicate a sense of exasperation,EXPRESS,indicate,EXPRESS,,,
f91fa781,Long Neck Reaction Guy,used to demonstrate the emotional reaction of recoiling in horror.,USED-TO,demonstrate,RESPOND,,,
2ff8ee24,Dilly Dilly,used as an audible signal in an NFL game between the Pittsburgh Steelers and the Tennessee Titans.,USED-TO,use_as,STRUCTURAL,,,
27ad42c7,Huell Rolling In Money,with captions of people detailing how they received a small amount of money.,CAPTION,caption,CAPTION,,,
70d7e23d,My Daughter Loves Him I Think He Looks a Little Gay But Whatever Makes My Princess Happy,used as a standalone copypasta without the image.,USED-TO,use_as,STRUCTURAL,,,
9a3cf86d,Milk Edinburgh Club Photo,with captions imagining the man saying something that would make the woman appear bored.,CAPTION,caption,CAPTION,,,
d0da1d2b,Increasingly Buff SpongeBob,has been used to illustrate the changing level of power and aggression in certain individuals in a similar fashion to Mafia City memes.,USED-TO,illustrate,LABEL,,,
84a604e6,One More Lane Bro  One More Lane Will Fix It,used to denounce public infrastructure policies that prioritize low-impact highway expansions over public transport expansions.,USED-TO,denounce,EVALUATE,,,
6947e775,Taylor Swift™ No Copyright Infringement Intended,to mock Taylor Swift's aggressive pursuit defense of the copyright on her lyrics and name,ACTION,mock,EVALUATE,,,
47f9ba47,This Fucking Sucks Actually  Literal Coolest Thing Ever,used to call something out as being bad.,USED-TO,call,LABEL,,,
73bcfb84,I Love You But Please Turn Off Your Phone Or Give Me A Dall,in response to situations or tweets that they find upsetting from organizations or people they like.,RESPONSE,response,RESPOND,,,
b9a25efa,Guy Pointing at Himself,to express confused shock,EXPRESS,express,EXPRESS,,,
da584516,Slow Clap,is used to heckle a speaker or performer.,USED-TO,heckle,OTHER,,,
c45f57fd,Early Life Wikipedia Section,used to reference Jewish ethnicity.,USED-TO,reference,OTHER,,,
24d36abf,Wheres The Funny,to criticize another's sense of humor.,ACTION,criticize,EVALUATE,,,
6823cecc,Why Would You Say Something So Controversial Yet So Brave,in response to relatively banal statements.,RESPONSE,response,RESPOND,,,
33aa440e,Berries and Cream,to express a sense of feeling unusually old-fashioned,EXPRESS,express,EXPRESS,,,
63b72d29,RIPJoeRogan,to troll people.,ACTION,troll,EVALUATE,,,
ca156e25,Holy Shit Its a Dinosaur,paired with various dinosaur-related videos.,CAPTION,pair,CAPTION,,,
98b35301,Bad Bitch Genre,used as a sound for multiple lib dubs.,USED-TO,use_as,STRUCTURAL,,,
e60d07de,Evil Toddler,with captions describing mischievous pranks and behaviors associated with young children.,CAPTION,caption,CAPTION,,,
2ff8ee24,Dilly Dilly,is used in a toast of agreement and praise,USED-TO,use_in,STRUCTURAL,,,
0301d04a,I Would Cry Cry Myself to Sleep,in response to a Sticking Out Your Gyat For the Rizzler video from a goth,RESPONSE,response,RESPOND,,,
5f86814b,5 YouTubers Who Have Sworn,reacts to a remix of the meme.,RESPONSE,react,RESPOND,,,
5465774f,Ambien Walrus,used to treat sleeping disorders that can cause hallucinations and memory loss as a side effect.,USED-TO,treat,RESPOND,,,
a60b3fa6,Whoops Cant Show That in a Christian Manga,used for shitposting purposes on discussion sites and image boards such as 4chan.,USED-TO,use_for,STRUCTURAL,,,
faab1735,BTW I Use Arch,used to make fun of the type of person who feels superior because they use a more difficult Linux distribution.,USED-TO,make_fun_of,EVALUATE,,,
27310a9c,Anime Mom Hair  Dead Mom Hair,commonly used in manga and anime to demonstrate that the character is a housewife.,USED-TO,use_in,STRUCTURAL,,,
6aebb803,Subverting Expectations,used as a positive criticism of these franchises and has since been used as a sarcastic response to the praise.,USED-TO,use_as,STRUCTURAL,,,
5f13f7b1,See Nobody Cares,to convey indifference or apathy towards someone soliciting unwarranted attention.,EXPRESS,convey,EXPRESS,,,
f2c17ef6,You Have Done That Yourself,used to call out a person or group for being at fault for being alienated yet blaming someone else.,USED-TO,call,LABEL,,,
0efecc1f,Party Hard,to express that one should party in an intense way by giving it all.,EXPRESS,express,EXPRESS,,,
faac9d36,4Chan fa Meetup,used in various meme edits.,USED-TO,use_in,STRUCTURAL,,,
923495b1,The Club Cant Even Handle Me Right Now,to express a person's excitement,EXPRESS,express,EXPRESS,,,
908869d3,Funny Error Messages,to indicate a computer or website is malfunctioning while explaining the fake error in a humorous manner or real error messages engineered to be funny.,EXPRESS,indicate,EXPRESS,,,
b04d2b1a,I Herd U Liek Mudkips,is commonly used as an identifier amongst 4chan users outside of the imageboard community,USED-TO,use_as,STRUCTURAL,,,
8bee59fc,We Not Making It Out The Hood,used to mock bad hip-hop songs or beats,USED-TO,mock,EVALUATE,,,
c24b9477,ScreenReaching Hand  Emoji,paired with fourth-wall-breaking captions such as 'You Think You're Safe?' and 'Hand Them Over.',CAPTION,pair,CAPTION,,,
08d843ae,Is That Seat Taken,used as an exploitable source material for ironic memes,USED-TO,use_as,STRUCTURAL,,,
c69831cd,WAGMI  NGMI,used in 4chan and adjacent communities to show comradery and a willingness to keep going in life.,USED-TO,use_in,STRUCTURAL,,,
f0f05db5,Orange Peel Theory,react to the request.,RESPONSE,react,RESPOND,,,
5ff1a0d8,Drawn Togethers Train and Tunnel Scene  Tren Y Túnel,used as an innuendo for a gay sex scene.,USED-TO,use_as,STRUCTURAL,,,
813f2328,Pornhub Community Intro,used in pranking Twitch streamers.,USED-TO,use_in,STRUCTURAL,,,
6aebb803,Subverting Expectations,used for cultural artifacts that some believe make story choices that are unjustified,USED-TO,use_for,STRUCTURAL,,,
c4f09c1c,These Are Not the Droids You Are Looking For,often used to humorously assert that an object/statement is is not representing what it appears to represent.,USED-TO,assert,EXPRESS,,,
74820b80,Logical Fallacy Referee,with captions calling out the use of logically invalid arguments used in online debate.,CAPTION,caption,CAPTION,,,
8874d1ed,StrandedBae,used to discuss the story of Twitter user @__iamqueenk being stranded at the airport by fellow Twitter user @KashMoneyKanee after visiting him on Valentine's Day.,USED-TO,discuss,OTHER,,,
03efe7e2,You Dumb Bitch,paired with the quote has been circulated,CAPTION,pair,CAPTION,,,
d53318f3,Sitting Wolf,paired with captions related to Pics That Go Hard and furries.,CAPTION,pair,CAPTION,,,
23b5790d,I Need You To Distract Kang,to mock subsequent fake leaks,ACTION,mock,EVALUATE,,,
b3eeeb12,FishMouth Syndrome,used to describe a seemingly common facial trait in social justice warriors and feminists where their upper lips settle abnormally high and their lower lips settle flat and low,USED-TO,describe,LABEL,,,
74820b80,Logical Fallacy Referee,used in online debate.,USED-TO,use_in,STRUCTURAL,,,
0a6cb4d2,I Fucking Love Cocaine,often used in image macros where the subject has a powdery white substance on the face,USED-TO,use_in,STRUCTURAL,,,
2f7b31cd,11024,used in jokes mocking reports that a DNA test for Elizabeth Warren determined that she was between 1/64th and 1/1,USED-TO,use_in,STRUCTURAL,,,
8e71aff1,UNRAVEL  Donnys Theme,used in videos that chronicle a person's downfall by presenting their posts and comments.,USED-TO,use_in,STRUCTURAL,,,
98ffd08f,I Was Only Pretending To Be Retarded,to troll someone.,ACTION,troll,EVALUATE,,,
487e8706,Not All Pee Pee Times Are Poo Poo Times,paired with videos of pets and later spreading to Instagram.,CAPTION,pair,CAPTION,,,
2abad9b1,I Miss You Daddy  Its Been A Year Daddy,used in ironic shitposts,USED-TO,use_in,STRUCTURAL,,,
003b58c4,LeBron Jamess NBA Finals Reaction,to convey frustration with an supposedly obvious mistake.,EXPRESS,convey,EXPRESS,,,
580884d4,Kai Cenat Tongue Out Face,with captions that used the screenshots to describe an emotion.,CAPTION,caption,CAPTION,,,
6863ac5d,Meme Man,used in absurd edits,USED-TO,use_in,STRUCTURAL,,,
2dbcee0b,Fight Me IRL,to parody Internet Tough Guy stereotype,ACTION,parody,EVALUATE,,,
3165af7e,In the Big 25,to indicate that a certain thing,EXPRESS,indicate,EXPRESS,,,
05ea0a09,This Place Is Not a Place of Honor,used to comedic effect.,USED-TO,comedic,OTHER,,,
c3f7d1d1,Thank You Kanye Very Cool,in response to a tweet posted by Kanye West in late April 2018.,RESPONSE,response,RESPOND,,,
1c0513ee,Martyrdom Drop a Live Grenade When Killed,often used to comment on self-directed roasts done with the purpose of roasting another person.,USED-TO,comment,EXPRESS,,,
2b190269,HOW,as a response to Minecraft Bee Is Trans arguments and trans-related posts in general.,RESPONSE,response,RESPOND,,,
62213d56,James Franco “First Time”,has been used in image macros as the punchline to jokes about one's inexperience usually to emphasize an uncommon or ridiculous occurrence in normal society that has become a regular occurrence in a community.,USED-TO,use_in,STRUCTURAL,,,
ff4c387f,Sad Panda,used in pictures,USED-TO,use_in,STRUCTURAL,,,
a6dc38df,Mc Mirella Sobrancelha  Mc Mirellas Eyebrow  Sus Eyebrow,used to express suspicion or curiosity,USED-TO,express,EXPRESS,,,
aae68a73,Help Im Trapped in a Factory,used in satirical pleas for help claiming to be stuck inside a factory that produces the object containing the message.,USED-TO,use_in,STRUCTURAL,,,
7e971a45,You Better Watch Your Mouth,to express intense disagreement.,EXPRESS,express,EXPRESS,,,
4080cfa0,Didney Worl,captioned with the phrase “Didney Worl,CAPTION,caption,CAPTION,,,
08bcd682,Kreygasm,to indicate an intense feeling of elation or pleasure.,EXPRESS,indicate,EXPRESS,,,
744cfb4a,Conspiracy Keanu,captioned with paranoid conjectures and absurdly philosophical questions that bear similarities to the Paranoid Parrot,CAPTION,caption,CAPTION,,,
bd60f106,Mad Karma with Jim Cramer,is often used as an indicator of an up-and-coming meme or a trending discussion topic,USED-TO,use_as,STRUCTURAL,,,
604b1d18,B Button Emoji 🅱,used to symbol to represent the B blood type,USED-TO,symbol,OTHER,,,
31a9f630,Zach Galifianakis Math,is often used as a reaction image in response to confusing content and is also used in image macros to similarly depict confusion.,USED-TO,use_as,RESPOND,,,
721ea534,Favorite Candy Reeses Pieces or Them Lifesaver Gummies,used in lip-dub skits.,USED-TO,use_in,STRUCTURAL,,,
c40dab04,Now Why Is That,used to humorously showcases contradictions within situations,USED-TO,showcase,OTHER,,,
c75706e6,Nerd World Problems,to express frustrations and complaints unique to people who consider themselves nerds.,EXPRESS,express,EXPRESS,,,
dc211791,Trigger  Triggered Slang,to criticize certain issues that may be seen as too trivial or irrelevant to discuss in length.,ACTION,criticize,EVALUATE,,,
3390785b,Knows What Sex Is Grid,used to assign four people or characters based on whether they have sex and have awareness of what sex is.,USED-TO,assign,DIRECT,,,
cc0b0e4d,Jayce PFP War Arcane,to show opposition.,EXPRESS,show,EXPRESS,,,
0cc01395,Spongebob Cops,is used in response to scenarios where a person needs to be chastised.,USED-TO,use_in,STRUCTURAL,,,
930e8237,Goodbye Mom,has been used as an ironic addition to images showing map locations.,USED-TO,use_as,STRUCTURAL,,,
fd6c5fef,Vsauce Michael Staring,has been used as an exploitable image macro in memes with variations of Michael's signature catchphrase and video opening being used as punchlines.,USED-TO,use_as,STRUCTURAL,,,
59225d52,My Skin Is Clear,in reaction to pictures or videos of the object of their fandom.,RESPONSE,reaction,RESPOND,,,
e2c0899d,Its SO Over,used in parodies of a viral tweet by Twitter user @heartereum,USED-TO,use_in,STRUCTURAL,,,
66c291cf,Elmo Nuclear Bomb,commonly used as a reaction image to respond to shocking news or powerful lyrics.,USED-TO,use_as,RESPOND,,,
d481d20b,Bro Not Cool,has been used as a template for object-labeling memes.,USED-TO,use_as,STRUCTURAL,,,
2d5678fc,Take a Fucking Sip Babes,is typically used to patronizingly indicate that someone is ignorant or naive.,USED-TO,indicate,EXPRESS,,,
55ee03a9,Clown to Clown Communication,is often used as a reaction to content where two people perceived as clowns are interacting.,USED-TO,use_as,RESPOND,,,
be46dd49,Looks Like They Couldnt Handle the Neutron Style,typically used as a reaction image to express sarcastic coolness and swagger about an above caption or image in the top panel,USED-TO,use_as,RESPOND,,,
eb4a2092,Yes Chad,usually used to debase those attempting to mock or bully a person for their personal traits or interests.,USED-TO,debase,OTHER,,,
35ca96b9,Cheesed To Meet You,paired with the Pepe Mouse became popular on various websites in August and September 2020.,CAPTION,pair,CAPTION,,,
81e5134b,Oh Great Heavens,used in a myriad of TikTok lip-dub skits and other videos.,USED-TO,use_in,STRUCTURAL,,,
dc582c54,IDDQD,used in the 1993 first person shooter game Doom,USED-TO,use_in,STRUCTURAL,,,
103c4304,The Goggles Do Nothing,to express disgust or to mock a character's with useless accessories.,EXPRESS,express,EXPRESS,,,
1fd27da9,Mormon Soaking  Jump Humping,is used as a loophole to get around rules in the Mormon faith against having premarital sex.,USED-TO,use_as,STRUCTURAL,,,
073aea6b,Shots Fired,to indicate someone has insulted someone in an effectively cutting way,EXPRESS,indicate,EXPRESS,,,
01ee4484,Two Gay Niggas Kissing  Two Black Men Kissing,used in 2017 through the Kiss Your Homies Goodnight format.,USED-TO,use_in,STRUCTURAL,,,
75d503c5,Is it can be hugs tiem now plees,used in 4chan's /r/ and other 'user-request' forums to reiterate one's request for a particular reward without coming off as being rude or obnoxious.,USED-TO,use_in,STRUCTURAL,,,
9948d4e1,Carly Rae Jepsens Store,used in a series of remix videos on Vine containing footage of people walking down the street or dancing in public places.,USED-TO,use_in,STRUCTURAL,,,
109fb9f2,Welcome to the Gang  Crimes Johnson,captioned with various humorous descriptions of their criminal acts.,CAPTION,caption,CAPTION,,,
e1d2fd47,There Are Only Two Genders,is commonly used to caption various exploitable image macros.,USED-TO,caption,CAPTION,,,
c8205498,Me Gusta,is typically used to express one's approval of an awkward or perverse situation.,USED-TO,express,EXPRESS,,,
0b5fe3a5,Sad Wolverine Seeing Jean Grey and Cyclops Kiss,to express feelings of loneliness and exclusion.,EXPRESS,express,EXPRESS,,,
9365b8d3,YouTube Comment Memes,to express themselves via YouTube comments which have spawned several memes.,EXPRESS,express,EXPRESS,,,
bd3b185d,All Right Then Keep Your Secrets,has been used as a reaction image.,USED-TO,use_as,RESPOND,,,
ea90d8d3,Help Help Im Being Repressed,to poke fun at the person claiming to be “repressed.”,ACTION,poke_fun_at,EVALUATE,,,
1f9618c5,It Was Time for Thomas to Leave,used in reaction to something the person finds particularly overwhelming.,USED-TO,use_in,RESPOND,,,
8a49fcce,Do You Have Any Mental Illness In Your Family,has been used to express opinions held by the meme creator about things they do not like,USED-TO,express,EXPRESS,,,
0e8e6753,Mom Get the Camera,to express that a person got rekt.,EXPRESS,express,EXPRESS,,,
a29a2cbf,Why The Tip Of The Penis Is Mushroom Shaped,is used to scoop other men's semen from the vagina,USED-TO,scoop,OTHER,,,
5fde0fbd,Oh You,used as a reply to a clever or brash statement.,USED-TO,use_as,STRUCTURAL,,,
70661dd4,They Had Us In the First Half,with captions in which the first half of the text sounds good,CAPTION,caption,CAPTION,,,
91fb35b0,Oh Yeah Its All Coming Together,often used in reference to fortunate circumstances or the resolution of complex problems.,USED-TO,use_in,STRUCTURAL,,,
3165af7e,In the Big 25,paired with a montage of basketball player Shaquille O'Neil and other athletes in the decline of their careers,CAPTION,pair,CAPTION,,,
73532455,Ow The Edge,used in response to images,USED-TO,use_in,STRUCTURAL,,,
18b123ea,Bubblys In The Fridge,to express frustration with everyday life problems.,EXPRESS,express,EXPRESS,,,
1bda6c6b,I Serve the Soviet Union,used to make jokes about communism and sharing.,USED-TO,make,OTHER,,,
28c25e35,Mason 67,paired with an emojipasta showing hands pushing away LGBTQ+ flags and accepting emojis about baseball,CAPTION,pair,CAPTION,,,
5bda9096,Supply Chain,used in object labeling,USED-TO,use_in,STRUCTURAL,,,
28665f7b,Ponify,used to describe the jargonization process of Bronyspeak.,USED-TO,describe,LABEL,,,
4e0d7fd5,What The Hell Happened Here,has been used as a reaction image macro.,USED-TO,use_as,RESPOND,,,
2c5a0897,Kid Getting Choked,has been used as a reaction image to describe moments that make one feel aggressive,USED-TO,use_as,RESPOND,,,
ece8df96,Senator Armstrongs Speech  Limp Dick Lawyers and Chickenshit Bureaucrats,used in memes online.,USED-TO,use_in,STRUCTURAL,,,
70d498a9,Weve Been Tricked Weve Been Backstabbed and Weve Been Quite Possibly Bamboozled,paired with the quote has been used as a macro,CAPTION,pair,CAPTION,,,
d881d649,Its a Meme You Dip,as a response to someone who shows confusion towards a typically well known internet meme.,RESPONSE,response,RESPOND,,,
b93ca11f,You Cant Handle the Truth,is often used to deny someone information that has been deemed too sensitive.,USED-TO,deny,OTHER,,,
643378ee,What Happened To Hello How Are You,has been used in several different ways since its introduction to the site in mid-2020,USED-TO,use_in,STRUCTURAL,,,
d6885cc9,He Does Exactly What I Do But Better,to show one object or thing saying that something else is exactly like it,EXPRESS,show,EXPRESS,,,
140b51fc,Homer Simpson in a Lesbian Bar,used for the purposes of object labeling to express outsiderness or an unpopular opinion.,USED-TO,use_for,STRUCTURAL,,,
b3416598,John Wick Reloading,often used to express annoyance or desire to deliver vengeance,USED-TO,express,EXPRESS,,,
85dddc6a,Masterful Gambit Sir,to mock Elon Musk and his fans,ACTION,mock,EVALUATE,,,
8df21b75,Yes Yes,has been used in YouTube Poops,USED-TO,use_in,STRUCTURAL,,,
ef90916c,How Fast Do I Gotta Walk,to parody videos in which users will pair the phrase with articles of clothing that bear no resemblance to the article of clothing being imitated.,ACTION,parody,EVALUATE,,,
f925e67f,Em Em Dance,reacting to pictures of celebrity crushes.,RESPONSE,react,RESPOND,,,
f5eeea0e,Girl Putting Tuba On Girls Head,used to symbolize a group overwhelmingly expressing something to another group,USED-TO,symbolize,LABEL,,,
c66f66f1,Monika TPosing Over Sans,has been used as an object labeling meme,USED-TO,use_as,STRUCTURAL,,,
b7e1bbd0,Fuck Me Yourself You Coward,was used in memes and imagined as dialogue between fictional characters.,USED-TO,use_in,STRUCTURAL,,,
29f77099,San Francisco Armory  Kink Castle,used to film adult videos for years.,USED-TO,film,OTHER,,,
1e64b080,Womp Womp Slang,to indicate a failure on television game shows.,EXPRESS,indicate,EXPRESS,,,
2829eaff,Forum Weapons,in response to something that has been said,RESPONSE,response,RESPOND,,,
374f55ae,iDubbbzs Im Gay,paired with clips of people falling to the ground.,CAPTION,pair,CAPTION,,,
